experiment,threads,N,K,D,iters,run,elapsed
weak_omp,1,100000,8,40,150,1,11.250346
weak_omp,1,100000,8,40,150,2,11.031672
weak_omp,1,100000,8,40,150,3,11.000257
weak_omp,1,100000,8,40,150,4,11.121020
weak_omp,1,100000,8,40,150,5,11.022824
weak_omp,2,200000,8,40,150,1,11.348103
weak_omp,2,200000,8,40,150,2,11.384723
weak_omp,2,200000,8,40,150,3,11.394286
weak_omp,2,200000,8,40,150,4,11.413585
weak_omp,2,200000,8,40,150,5,11.328376
weak_omp,4,400000,8,40,150,1,11.848222
weak_omp,4,400000,8,40,150,2,11.746709
weak_omp,4,400000,8,40,150,3,11.829251
weak_omp,4,400000,8,40,150,4,12.030099
weak_omp,4,400000,8,40,150,5,11.522661
weak_omp,6,600000,8,40,150,1,12.591614
weak_omp,6,600000,8,40,150,2,12.688939
weak_omp,6,600000,8,40,150,3,12.658577
weak_omp,6,600000,8,40,150,4,12.608843
weak_omp,6,600000,8,40,150,5,12.633572
weak_omp,8,800000,8,40,150,1,13.313065
weak_omp,8,800000,8,40,150,2,13.463817
weak_omp,8,800000,8,40,150,3,13.579301
weak_omp,8,800000,8,40,150,4,13.545878
weak_omp,8,800000,8,40,150,5,13.449954
weak_omp,10,1000000,8,40,150,1,13.743909
