experiment,N,K,D,iters,run,elapsed
cuda_v2,500000,8,40,150,1,0.201419
cuda_v2,500000,8,40,150,2,0.209930
cuda_v2,500000,8,40,150,3,0.198387
cuda_v2,500000,8,40,150,4,0.206873
cuda_v2,500000,8,40,150,5,0.204469
cuda_v2,1000000,8,40,150,1,0.379220
cuda_v2,1000000,8,40,150,2,0.379786
cuda_v2,1000000,8,40,150,3,0.381480
cuda_v2,1000000,8,40,150,4,0.378431
cuda_v2,1000000,8,40,150,5,0.377974
cuda_v2,2000000,8,40,150,1,0.718385
cuda_v2,2000000,8,40,150,2,0.709968
cuda_v2,2000000,8,40,150,3,0.697315
cuda_v2,2000000,8,40,150,4,0.686711
cuda_v2,2000000,8,40,150,5,0.697790
cuda_v2,4000000,8,40,150,1,1.431496
cuda_v2,4000000,8,40,150,2,1.446776
cuda_v2,4000000,8,40,150,3,1.462395
cuda_v2,4000000,8,40,150,4,1.400121
cuda_v2,4000000,8,40,150,5,1.395488
cuda_v2,8000000,8,40,150,1,2.673076
cuda_v2,8000000,8,40,150,2,2.684195
cuda_v2,8000000,8,40,150,3,2.649879
cuda_v2,8000000,8,40,150,4,2.655316
cuda_v2,8000000,8,40,150,5,2.695021
